"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"rm_na_matK",0.02784287,0.00216985,0.00646879000000004,0.0112697900000001,0.0306201499999997,0.14231185,0.0235159600000003,0.0307492100000001,0.0476440199999998,0.0625169500000005,0.0560968,0.06643348,0.04903096,0.14622669,0.00741995999999998,0.00892089999999995,0.01313957,0.0274081499999999,0.0467930400000002,0.0721344699999999,0.0679319600000003,0.10560115,0.0871102199999993,0.0432655400000005
"rm_na_ndhA",0.01295923,0.00230873000000002,0.01538382,5.00000000000001e-07,0.0168313099999999,0.0579193400000005,0.0117817,0.0166083700000001,0.0185730799999999,0.0453130199999996,0.02380785,0.0421642299999996,0.0190217899999998,0.0722041900000002,0.01277013,0.00287958999999997,0.0188530699999999,0.0128755599999999,0.0348580800000002,0.0523969700000004,0.0529251,0.16582368,0.0585152100000006,0.0201375799999998
"rm_na_ndhB",0.00240050999999998,0.00121670999999999,0.00118356000000001,0.000450210000000001,0.00498323,0.00603801999999998,0.00364463999999997,0.00429809000000004,0.00352573,0.00199695000000001,0.00403230000000001,0.00256807999999998,0.00127989,0.0225053699999997,0.00064277,0.00232392000000001,0.00125698999999999,0.00235504,0.00323903,0.00601845999999997,0.00554918999999998,0.00968500000000001,0.0128121099999999,0.00373019000000003
"rm_na_ndhC",0.00664048000000007,1.49999999999999e-07,1.80000000000002e-07,0.00306038999999999,0.0114546900000001,0.0625292600000001,0.00896205000000007,0.0113380699999999,0.0189441,0.0256867900000002,0.0352198399999999,0.0100497400000001,0.0288044000000001,0.0552960199999997,2.60000000000001e-07,0.00386543000000004,0.00906932999999995,0.0216797,0.01001357,0.0249152200000002,0.0276593299999999,0.0420064799999998,0.0273085099999997,0.01031876
"rm_na_ndhD",0.0134966300000001,0.00297102000000002,0.00481632,0.00524860000000001,0.01766343,0.10213114,0.02683806,0.01850522,0.0332515199999997,0.0515189300000003,0.03656189,0.0460073699999998,0.0308828300000002,0.12474408,0.00980665000000003,0.00836033000000009,0.0106029299999999,0.0192490800000001,0.0299704799999999,0.0362983599999996,0.0585331599999996,0.0909524199999995,0.0863939199999998,0.02097265
"rm_na_ndhE",0.00660698999999999,0.0141652800000001,0.00501510000000004,0.00286646000000003,0.0236213399999999,0.0972055399999999,0.0168510300000001,0.0085055600000001,0.0217395499999999,0.0146935199999998,0.0471286500000003,0.0404932700000002,0.0205146700000002,0.099441369999999,0.00538408999999995,0.00300172999999997,0.00383748999999997,0.00718017999999993,0.00692978000000001,0.0312841,0.0414375699999998,0.0412350399999996,0.0391660199999998,0.0102667199999999
"rm_na_ndhF",0.0176890100000001,0.00650047000000006,0.00851074999999994,0.00595616999999995,0.0220749700000001,0.1034705,0.0223697299999999,0.0238192100000001,0.0315582900000002,0.0634666300000007,0.0524601100000004,0.0562415500000002,0.0282268099999998,0.1055974,0.00380647999999998,0.00624249,0.0295015200000001,0.00769601999999994,0.0418077099999999,0.0621773700000002,0.0965709399999993,0.13486369,0.0977976599999993,0.0274872699999997
"rm_na_ndhG",0.0150810000000001,0.00427302000000002,0.0111122799999999,0.00525022000000005,0.0258512700000002,0.0616418400000003,0.0134486199999999,0.0227076599999998,0.0241203299999998,0.0555889799999998,0.0378512999999997,0.0406003700000004,0.0221822400000001,0.0869490500000004,2.29999999999999e-07,0.0208141699999999,0.00525266000000003,0.0151127199999998,0.03938641,0.0522848399999995,0.0503611099999995,0.0864086599999995,0.0690384099999992,0.0234346300000001
"rm_na_ndhH",0.0125871099999999,0.00252224,0.00834905000000001,0.00434021999999999,0.0212099799999999,0.0817101500000006,0.01224948,0.01878721,0.01335211,0.0354734600000002,0.0113654899999999,0.0368891699999998,0.0290625500000001,0.08211855,0.00364327999999998,0.00377157999999999,0.01280498,0.00886414,0.0310198799999997,0.0319364599999999,0.0468817700000004,0.0750016899999999,0.0609864399999999,0.01955934
"rm_na_ndhI",0.0124261399999999,0.00325026999999999,0.00304802000000001,2.29999999999999e-07,0.00684407999999992,0.0571758099999998,0.00829470999999992,0.0187358699999999,0.0287126399999998,0.0331108899999999,0.0421713500000005,0.02033067,0.0233812699999998,0.0441412099999995,1.40000000000001e-07,3.75000000000001e-06,0.01381538,0.00506933000000004,0.01963314,0.0367259100000002,0.0494006899999998,0.0465107200000003,0.0485137200000001,0.0193091899999998
