"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
"gene1.fasta",0.004740563491,0.04073480853,0.0579073869,0.04730867334,0.01141288588,0.003818377097,0.01042350156,0.05829782484,0.02834513112,0.02726331734,0.04632180921,0.05336487241,0.03990156241,0.006638105637,0.01018633397,0.01703891447,0.03000481687,0.03038936259,0.01649779825,0.1010782584,0.008260764201,0.02311690752,0.04604380138,0.009726095931,0.009285967752,0.01590561789,0.005435373763,0.009374783361,0.03317930918,0.02254348482,0.03721489741,0.03818297812,0.01754562391,0.04081995178,0.03646124857,0.0158393905,0.05478268482,0.0878582468,0.007591346619,0.005729102326,0.02071541058,0.006438440118,0.004068778693,0.002573490034,0.0006671391316,0.002026925791,0.00222959773,0.001528307209,0.005018317187,0.007722989562,0.01673990012,0.1398200897,0.01604175191,0.05052007104,0.04241441518
"gene10.fasta",0.004405524568,0.02005793869,0.04069833006,0.02909194022,0.004598214517,0.007015795631,0.009952973508,0.06579734868,0.03462390304,0.03587911348,0.05029922261,0.0664632607,0.0448174856,0.002387890193,0.009401295082,0.01409755764,0.02376887762,0.02391784797,0.007619325059,0.06029234091,0.007692714453,0.0144405199,0.03575529345,0.004675296212,0.00375250938,0.01194334017,0.004684024947,0.001407427587,0.0231461782,0.01306118814,0.04418890456,0.02717937253,0.01594263783,0.02320758337,0.01501002607,0.02019376857,0.07905994528,0.06808678672,0.004106180069,0.002872417872,0.01071572767,0.00768955228,0.003312471698,1e-08,0.0004612309481,0.0009272942166,0.0009185774884,0.001969875653,0.00184212584,0.005590171074,0.01560921333,0.03251582688,0.01343453338,0.01456172088,0.0385250234
"gene100.fasta",0.004368690977,0.02633155478,0.04745032329,0.02626707214,0.006908486457,0.007085601444,0.006923595169,0.07318987634,0.02307856179,0.02742819569,0.04828818374,0.03803625231,0.0346934751,0.004736195517,0.008667377835,0.01918396626,0.02839129065,0.02773217253,0.01249654842,0.05382056226,0.01191898505,0.03075573757,0.07839040948,0.008310883689,0.002318503867,0.01000899711,0.001758114674,0.002411958638,0.03891899766,0.01945833884,0.0283280126,0.02588585056,0.01219161121,0.03143682956,0.01726068872,0.02125200891,0.05455664651,0.07575110387,0.002295290881,0.0008158866105,0.01231547382,0.00546839673,0.00356103136,0.002132108299,0.001067590474,0.002129441791,0.002666795553,0.0009943649346,0.01291541805,0.009292126922,0.02593268739,0.04103163529,0.007867069156,0.01862670767,0.04512795999
"gene101.fasta",0.005357048943,0.02375073006,0.07417188843,0.03821605978,0.008588589636,0.00843148822,0.01546344449,0.05772777102,0.02752046099,0.04072990261,0.1892618484,0.1111433668,0.06508710441,0.007279783432,0.003492057507,0.01439273477,0.04536398318,0.03497235846,0.01337658645,0.09902869797,0.02232032477,0.02533173886,0.07941168722,0.008676088927,0.002906319689,0.01125820176,0.005425253215,0.008739148195,0.05932299061,0.02452812437,0.1216005998,0.07459981752,0.01621485598,0.02714948314,0.03448495262,0.01293012887,0.09271061196,0.0793766605,0.004090597553,0.00485700081,0.01256933842,0.008723174872,0.009414346621,0.002104322368,1e-08,0.002099376922,0.003502229866,1e-08,0.04311678694,0.01661438235,0.01914963954,0.04971407725,0.007748337304,0.03358392172,0.04748990699
"gene102.fasta",0.0006355101849,0.01456556516,0.05012759656,0.02416773024,0.003456068053,0.0006221720607,0.004079645646,0.04852955372,0.01475168529,0.02581324331,0.03109642439,0.02783808255,0.02734798375,0.003921481644,0.003183168581,0.008005832466,0.02357510908,0.02061762131,0.003573571523,0.06513712065,0.005523366789,0.02284284345,0.03153387702,0.005973453172,1e-08,0.006841062791,0.002445739438,0.006160426239,0.02785823907,0.007507733401,0.01852175642,0.02189069986,0.006696213223,0.02363297581,0.0103137533,0.004415838652,0.04342634165,0.04578950324,0.002623799233,0.003330167557,0.009699091479,0.002157472152,0.002450145877,0.006123615045,1e-08,0.005200243358,0.0005566553172,0.001947966546,0.001695177804,0.004195153731,0.01394467219,0.02246110584,0.005050663132,0.01554285045,0.0261894116
"gene103.fasta",0.0006355101849,0.01456556516,0.05012759656,0.02416773024,0.003456068053,0.0006221720607,0.004079645646,0.04852955372,0.01475168529,0.02581324331,0.03109642439,0.02783808255,0.02734798375,0.003921481644,0.003183168581,0.008005832466,0.02357510908,0.02061762131,0.003573571523,0.06513712065,0.005523366789,0.02284284345,0.03153387702,0.005973453172,1e-08,0.006841062791,0.002445739438,0.006160426239,0.02785823907,0.007507733401,0.01852175642,0.02189069986,0.006696213223,0.02363297581,0.0103137533,0.004415838652,0.04342634165,0.04578950324,0.002623799233,0.003330167557,0.009699091479,0.002157472152,0.002450145877,0.006123615045,1e-08,0.005200243358,0.0005566553172,0.001947966546,0.001695177804,0.004195153731,0.01394467219,0.02246110584,0.005050663132,0.01554285045,0.0261894116
"gene104.fasta",0.01019625688,0.07751614448,0.07441933865,0.06113432334,0.01115264119,0.004491759423,0.02421708654,0.07308737676,0.03067038339,0.01803447374,0.09059859519,0.09585288807,0.05108615267,0.005931123281,0.007606281932,0.007370424564,0.03333840569,0.05669317397,0.03169041565,0.09757981228,0.0134296313,0.02776302743,0.09103978619,0.02220363857,0.003151190632,0.008596881249,0.002295387632,0.004087269372,0.04738542678,0.03571181269,0.05408552808,0.02553496562,0.0206716737,0.03851607035,0.0309630591,0.08795164934,0.1824473837,0.05848926558,0.0103719566,0.003814865621,0.02055537342,0.008207384705,0.003958936555,0.005601435975,3.237828396e-06,0.001852093581,0.004285724488,0.001315418316,0.005323115058,0.008403250332,0.02399956567,0.03067656334,0.01323131554,0.02187593472,0.03884853883
"gene105.fasta",0.002429347209,0.02220993737,0.04528951674,0.03080839234,0.005375079135,0.002908262415,0.01161572408,0.04529376578,0.02646267944,0.02828631728,0.04567886628,0.03876493189,0.03375372374,0.00260045825,0.00549329486,0.009951640727,0.02566850273,0.01984233013,0.0149177412,0.0882131114,0.006079207985,0.02282266978,0.04110879093,0.005173602247,1e-08,0.009001904471,0.00384276534,0.006153816386,0.03213186436,0.01777454959,0.02967427244,0.04316877809,0.00897649727,0.06568869157,0.02291709247,0.01035025536,0.06059166753,0.05174291828,0.003965101021,0.00329073746,0.01294412555,0.004606626105,0.002377893008,0.002159003329,0.0006344459814,0.004100323533,0.002051336384,0.001714243622,0.005978826709,0.008527399558,0.01563334727,0.02866173363,0.01049512432,0.01080139526,0.0348297229
"gene106.fasta",0.002130577475,0.06060920294,0.1505586375,0.0671882799,0.0156273874,0.004569095253,0.01333908578,0.1047160169,0.05623896658,0.03763122526,0.08513284577,0.2548867052,0.08950347011,0.01017611016,0.015434179,0.02642554055,0.06410985443,0.06748735626,0.01148173994,0.1293886399,0.02738231991,0.04298663288,0.09428019973,0.01292202002,0.001635537077,0.02498750696,0.00518778299,0.01465309541,0.07041418803,0.03789190844,0.04444281958,0.04315703273,0.03452042931,0.1324052682,0.03131914798,0.04046412395,0.1629340602,0.0557491738,0.02313117149,1e-08,0.03349895662,0.01117422821,0.006074576181,0.004905748823,0.001042500748,0.004892906159,0.002935609287,0.006791923465,0.00334320098,0.01315099333,0.03269602597,0.08885010537,0.01618771434,0.04812487112,0.07606280532
"gene107.fasta",0.005401057285,0.03229714203,0.03791788094,0.05853510014,0.003245567922,1e-08,0.005718760462,0.03717050633,0.004336496576,0.005007436171,0.04363878134,0.0661577356,0.02745207044,1e-08,1e-08,0.01184387856,0.01301655995,0.0172016173,0.004037913273,0.03840089673,0.004836881572,0.03524631824,0.02714241675,0.003267889606,1e-08,0.01707473149,0.004025165611,0.00247881315,0.08988538299,0.02917928034,0.01645254841,0.140557966,0.001989604465,0.05674885498,0.01281480241,0.01040000216,0.01706532063,0.07120618226,0.001329230338,0.002161363945,0.01495751399,0.006308773034,0.004544983627,0.002895970426,0.001438156646,0.003004951716,0.002915107547,0.008412366495,0.00117271822,0.009618687942,0.07771490016,0.03535198437,0.005564377434,0.0208346622,0.02497112595
