,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,-1.75828659022,-3.59273866023,-2.67998108239,-2.69441939272,-2.01827815424,-1.03482270428,-1.7273260345,-1.64242752205,-1.54757316236,-1.35765005291,-1.51350728591,-1.40029907496,-1.58277777781,-0.855081583763,-3.16940506349,-2.72750670754,-2.31939113371,-1.65266086279,-1.63214589018,-1.29418966119,-1.18746042428,-0.976236437727,-1.08646309841,-1.57344439158
1,-1.71357555959,-3.76110919689,-2.90146187244,-2.98996220039,-1.80424059228,-1.03541578416,-1.85322926066,-1.66682110552,-1.53691720694,-1.30878185362,-1.4311056161,-1.35920147237,-1.52660561735,-0.871033154676,-3.51127929678,-2.53316738007,-2.09640493847,-1.62266245769,-1.59617540487,-1.293063161,-1.20692654698,-0.975708306596,-1.11431861554,-1.52339906542
2,-1.73528469418,-3.56941156442,-2.52736031957,-2.88992360888,-2.0003937067,-1.03094735477,-1.9044433385,-1.6403031638,-1.54474434474,-1.31158297206,-1.40780826697,-1.30001053465,-1.5089375661,-0.888981366783,-3.20206117152,-2.32489816068,-2.07481571488,-1.61495190623,-1.66298924637,-1.29529940652,-1.18940990254,-0.978847743926,-1.11734127493,-1.55852818909
3,-1.75909079598,-3.63159208688,-2.64362924679,-2.76815005888,-2.01565188167,-1.01889412228,-1.94203057991,-1.67290074186,-1.5058498642,-1.36860435695,-1.45576877695,-1.31524603102,-1.56376152706,-0.881859269359,-3.03512374651,-2.2479745468,-2.34823539217,-1.64482446769,-1.53622014995,-1.29843997735,-1.21142041832,-1.00490581555,-1.09514266787,-1.502633481
4,-1.71775140034,-3.69511373175,-2.71604269116,-2.75468625829,-1.86755369326,-1.0201062989,-1.82202762025,-1.62321552433,-1.51629978498,-1.31892277227,-1.4164208647,-1.42835818425,-1.52704171489,-0.868619203272,-3.40589371359,-2.7343535558,-2.22089235016,-1.63095887903,-1.57237658049,-1.31164594477,-1.22421270789,-1.00469118786,-1.10826430347,-1.55762089387
5,-1.73797597099,-3.7367273879,-2.67219017755,-2.8542528637,-1.9761174016,-1.01151567845,-1.70731463833,-1.6430098342,-1.50391915442,-1.314432573,-1.42264405103,-1.35966383453,-1.54542159065,-0.893494701865,-3.16979781393,-2.43625413568,-2.08492062509,-1.64224352417,-1.58144956893,-1.28920232683,-1.22014741362,-0.970748274158,-1.10393065824,-1.54830071743
6,-1.75715430762,-3.6569837615,-2.58843206037,-2.96490455899,-1.98203972453,-1.03504424115,-1.77740524848,-1.59127966808,-1.49627744285,-1.33082184325,-1.52067950153,-1.35571057128,-1.52788369818,-0.878348169214,-3.48005190973,-2.69971876552,-2.22768197611,-1.64763704345,-1.52934354978,-1.28951443209,-1.17359381301,-0.994776411072,-1.09469540717,-1.54396675437
7,-1.73367767004,-3.84489091625,-2.83980102084,-2.92899569437,-2.10819863393,-0.990884966852,-1.66815478077,-1.62308653763,-1.48139687316,-1.32052772282,-1.44003493009,-1.25995385918,-1.5464536202,-0.851615393813,-3.84344012871,-2.67029000531,-2.26113463592,-1.66379398325,-1.64317136157,-1.30152176527,-1.19292904749,-0.981404926745,-1.10706237305,-1.55858837724
8,-1.731975629,-3.73731188296,-2.84015734002,-2.77525604399,-2.04400723157,-0.988619960025,-1.71209461057,-1.65090100362,-1.5234053906,-1.30441399514,-1.45278825249,-1.31195461775,-1.50772138839,-0.912530936371,-3.06830751488,-2.66236523034,-2.18416824705,-1.65535641901,-1.62851499317,-1.29740925538,-1.23945032725,-1.00262025268,-1.07472099024,-1.5594940063
9,-1.71867694704,-3.97424581355,-2.597365378,-2.79849477322,-1.9468913624,-1.03220698175,-1.7303166084,-1.70992245983,-1.52385622684,-1.33439866862,-1.41242396662,-1.38187353598,-1.52919246271,-0.863011629292,-3.26201667535,-2.5480767932,-2.13707931132,-1.60368058425,-1.61919429154,-1.2990331127,-1.21250207684,-0.966898669696,-1.10669152492,-1.55138538819
