"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"rm_na_matK",0.0173686299999999,0.00270410000000002,0.0395366099999997,0.000540270000000002,0.0265324699999998,0.00572480000000001,0.0389908500000003,0.16429532,0.0495315100000003,0.12398293,0.14251007,0.0520506000000001,0.0288897100000003,0.02313342,0.00451601000000001,0.0763090700000008,0.0907175599999998,0.11388254,0.0178400499999999,0.10818123,0.0988313999999998,0.0436267999999999,0.01078671,0.01359864,0.00564901000000003,0.0473926300000001,0.0524500400000001,0.16382666
"rm_na_ndhA",0.00934557999999997,0.00416653000000003,0.0233178299999999,0.00321880000000002,0.0011717,0.0145935299999999,0.02176848,0.0754203799999995,0.0172765700000002,0.0678399299999997,0.0849971700000008,0.0269759200000003,0.02087618,0.0107843799999999,0.00648616999999998,0.0523671799999994,0.0455665199999995,0.0898364599999991,0.0086088999999999,0.0439653500000001,0.0543813699999999,0.0187156600000001,0.00461015,0.00360421999999998,0.00194811999999998,0.0336023399999998,0.0304964400000002,0.0881506299999998
"rm_na_ndhB",0.00113662999999999,0.000671060000000005,0.00504210000000004,0.000755329999999995,0.00160244000000001,0.00121044,0.00582963000000002,0.00945450000000008,0.0031765,0.00620240999999999,0.0217893699999999,0.00566814000000004,0.00454269,0.00127108999999999,0.000624140000000002,0.00707194999999998,0.00857160999999993,0.00646669999999994,0.000616010000000006,0.00713918000000005,0.00916531000000008,0.00127729000000001,0.00126533,0.00189045999999999,0.000630459999999997,0.00121048,0.00260404000000003,0.01072104
"rm_na_ndhC",0.00434989000000003,0.00871611999999998,0.00328241999999996,2e-07,0.0119337099999999,7.89999999999998e-07,0.01440154,0.0664150999999993,0.0250974799999999,0.0385653699999996,0.0503541199999994,0.00878336999999998,0.0363422299999998,4.89999999999996e-07,1.60000000000002e-07,0.0413661700000001,0.0392788000000001,0.0346788899999997,0.00462608000000004,0.0531526599999996,0.0229153899999999,0.01473087,0.00567362,0.00581175999999999,2.20000000000002e-07,0.0144405399999999,0.01179544,0.0410296299999999
"rm_na_ndhD",0.0102603999999999,0.00365159999999998,0.0247950599999998,0.00818173999999995,0.00848717000000005,0.00577812000000005,0.0217859200000001,0.12375559,0.0337360000000002,0.0787491299999992,0.11887731,0.0290273700000003,0.0243714600000002,0.00862424000000001,2.40000000000002e-07,0.0538130800000005,0.06726359,0.0986290800000009,0.00687195000000002,0.0588652999999998,0.0609521600000002,0.0152540900000001,0.00344206000000001,0.00926753000000002,0.00449908,0.0223109699999999,0.0227222900000002,0.0967795000000002
"rm_na_ndhE",0.0119699799999999,6.90000000000008e-07,0.0207479099999998,1.30999999999999e-06,0.00960113999999997,0.00558144999999997,0.0234939900000003,0.11616345,0.0299528100000003,0.0819741899999993,0.10943491,0.00825524999999999,0.02028271,0.0186397700000001,1.06e-06,0.0312632200000002,0.0196939299999998,0.0768095699999991,0.0265415900000002,0.0497702699999996,0.0298310700000001,0.00651491000000003,0.0115371799999999,0.00597097999999999,0.00889881999999997,0.02985743,0.0186896299999998,0.11290478
"rm_na_ndhF",0.0185317500000002,0.00293913999999999,0.02125107,0.00820700000000007,0.0196548299999998,0.0112858499999999,0.02184474,0.12792701,0.0350787000000002,0.11286804,0.10702202,0.0301207499999998,0.0433066399999995,0.0129243099999999,0.00342532999999997,0.0643249700000004,0.0832129799999995,0.11692258,0.0137883700000001,0.0869655599999991,0.0672439400000008,0.0266419300000002,0.01629051,0.01549558,0.00554582999999996,0.0447283599999996,0.0386818399999998,0.17479757
"rm_na_ndhG",0.00883798999999998,4.30000000000003e-07,0.0381455400000003,0.00411703000000002,0.0136672599999999,0.0114512800000001,0.0312519599999999,0.0781398699999997,0.0242208999999999,0.0865173899999992,0.09434027,0.0436477100000003,0.0203504999999999,0.00555895000000004,0.00111826,0.0591690599999993,0.0487575199999998,0.0858183700000005,0.00304689999999997,0.0681254800000004,0.0394184200000001,0.0150016900000001,0.00673866999999999,0.00583405999999996,0.00486760000000001,0.0266852,0.0306689999999997,0.0833628100000008
"rm_na_ndhH",0.00692842000000006,0.00774213000000007,0.0129941100000001,0.00834807999999994,0.0155588800000001,0.0084696000000001,0.0244298300000002,0.0925761700000003,0.01266384,0.0479079399999999,0.0841975500000001,0.0187696699999999,0.0160707299999998,0.0172669899999999,7.69999999999996e-07,0.0562390299999999,0.0471633700000003,0.0778312099999999,0.0157546199999999,0.0490057699999998,0.0568756299999994,0.01920101,0.0101378500000001,0.00784547999999993,0.00198016999999999,0.02513497,0.01902904,0.0653511300000003
"rm_na_ndhI",0.00619535999999997,1.69999999999998e-07,0.01383728,0.00434888000000004,0.00915233000000001,0.00777333999999991,0.00240431,0.0660537500000004,0.0299238200000003,0.0627957400000005,0.0454378600000003,0.0243105099999998,0.01314584,0.0285278099999999,0.00438490999999996,0.0383208700000003,0.0518924700000004,0.0823582000000008,0.0097742700000001,0.0154193200000001,0.05562475,0.0178001299999999,0.00686673000000008,0.00883114,0.0157555999999999,0.0218945499999998,0.0195450000000002,0.0584367299999994
