,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,-2.12182354151,-2.41698401902,-5.02585737271,-4.50724406022,-2.68909976556,-4.04331128962,-2.00099441054,-4.28945481176,-0.997166739059,-2.16461208226,-2.5450300061,-1.33981319339,-1.83500144191,-1.8153993566,-1.13859876081,-1.23732626948,-2.01465014668,-2.83340841798,-3.72384283684,-4.1119252458,-1.80699782192,-1.24813966992,-2.07262015201,-1.28281939786,-1.27670369776,-5.66643787457,-3.6782175809,-4.1822707525,-1.08079911282,-1.99999217599,-1.49747737241,-1.59688542098,-1.62622377638,-1.33141779919
1,-2.11954551036,-2.61169264115,-4.8910030693,-4.590043669,-2.70507382421,-3.98574066382,-2.15376333783,-4.13673099493,-0.99917145554,-2.09887346919,-2.61691680962,-1.37198265829,-1.84775376776,-1.80099887132,-1.13162699644,-1.30294689072,-1.86819498081,-2.88971056642,-3.68599417267,-4.03374432663,-1.79090555095,-1.34738909789,-2.06040758134,-1.31610258727,-1.2967281573,-5.72689926998,-3.66372329733,-4.21656501798,-1.07623736795,-1.88922758904,-1.50355243346,-1.58598711119,-1.60979952872,-1.31443853311
2,-2.1242984854,-2.52088199144,-4.92832873001,-4.34463207697,-2.72178617043,-3.97690003855,-2.13360541689,-4.20913510338,-1.00410355345,-2.21803857883,-2.46420623756,-1.35304082701,-1.92200509902,-1.83993989996,-1.13338064612,-1.24922531328,-2.00556075677,-2.84773117565,-3.88543317929,-4.1544881913,-1.76544048447,-1.30114635553,-1.97242968889,-1.31250839015,-1.29676507898,-5.68963889284,-3.64370732369,-4.14252796245,-1.08763239432,-1.9423176949,-1.54437083083,-1.66503377259,-1.64527197326,-1.31234330118
3,-2.1307362482,-2.47330022102,-4.88085314963,-4.61324120813,-2.70585449283,-4.19209606412,-2.17743663439,-4.34593548707,-1.0047417048,-2.15440229194,-2.47080820223,-1.33949996279,-1.88225691983,-1.80380441658,-1.14666545219,-1.27934009712,-1.94596089612,-2.87681865535,-3.70164676199,-4.13158116068,-1.86413203067,-1.29147772953,-1.9826172343,-1.31578244642,-1.28940113245,-5.86190283078,-3.70537825878,-4.18708863853,-1.10540403747,-1.95922764198,-1.53777759931,-1.62082949588,-1.62498034556,-1.30392714257
4,-2.12977102254,-2.53993610536,-4.8107991846,-4.3302798833,-2.66365027672,-4.1498997993,-2.02021657688,-4.30780936045,-0.992129326733,-2.18620777212,-2.49894035208,-1.34750137707,-1.77038708068,-1.77347172498,-1.14274561485,-1.28878077286,-1.99526891974,-2.84850809285,-3.69708346662,-4.10436802739,-1.85828532993,-1.28718046593,-2.11593882721,-1.30559318402,-1.29382283654,-5.83065929215,-3.82400984292,-4.27135048009,-1.09675375133,-2.02132423018,-1.49113777794,-1.66626099289,-1.61223831197,-1.31319531982
5,-2.12681683219,-2.36324465489,-4.76494116049,-4.45943424673,-2.83530857111,-4.17605298929,-2.17378839672,-4.43681444576,-0.990325369966,-2.30129527247,-2.78729075456,-1.33017836922,-1.80833503806,-1.88767627573,-1.14441832725,-1.24073276714,-2.08571561505,-3.14946370418,-3.77216822098,-4.02194846726,-1.80522705659,-1.2664603154,-2.13375599514,-1.31887663877,-1.30132529229,-5.78652007322,-3.79850466992,-4.32925969833,-1.08787119338,-1.97223086824,-1.51304705614,-1.62816245186,-1.58235908001,-1.31616489594
6,-2.11978781483,-2.44092776155,-4.98601377547,-4.41952942969,-2.75234899929,-4.05149884722,-2.02572475337,-4.12355636715,-1.00205401985,-2.32975752778,-2.58218461588,-1.34857749891,-1.85775164503,-1.79430057912,-1.14265956395,-1.27551894406,-1.91679099052,-2.95257882119,-3.74456291556,-4.17836204366,-1.84223929926,-1.31845560708,-2.09239769603,-1.32879461297,-1.27862454147,-5.7017043871,-3.76145325105,-4.17622985193,-1.07096329845,-1.96313482958,-1.52183222447,-1.6185716208,-1.59676959004,-1.320887947
7,-2.13978716645,-2.51823875393,-4.95870478679,-4.3391883029,-2.75176772869,-4.15684536214,-2.1367997968,-4.24987384827,-0.993759975233,-2.24549576322,-2.55780999934,-1.35129809475,-1.87563656385,-1.80595016726,-1.13764921339,-1.28767721109,-2.00941430923,-2.93160252227,-3.80611312332,-3.90851154946,-1.81450022668,-1.31048493227,-2.11980635291,-1.31166860821,-1.29519931821,-5.75286884072,-3.56230522491,-4.26484647067,-1.0824379523,-2.01312978752,-1.48626252597,-1.60388601494,-1.56719458341,-1.30141691225
8,-2.12591554706,-2.52663927059,-4.88164584814,-4.4988659031,-2.8107897534,-4.08454694049,-2.09722083975,-4.18995726112,-0.99236289451,-2.22772568285,-2.45297359513,-1.37588737202,-1.83475799664,-1.8139284045,-1.14425063874,-1.30632708837,-1.93102866179,-2.96965226735,-3.74554928405,-4.30700451089,-1.73496989401,-1.32354528822,-2.05640353621,-1.32061276089,-1.28329471245,-5.68991916171,-3.837895997,-4.09439043122,-1.09044645369,-1.90770375739,-1.48148712599,-1.64747909219,-1.56764607809,-1.32336290164
9,-2.11511642598,-2.45768513519,-4.96089624516,-4.31937540802,-2.82169316994,-3.91964404731,-2.20872122361,-4.36065361271,-0.992219872822,-2.35342910546,-2.59730518633,-1.30707184117,-1.72737962221,-1.84288486001,-1.12489331816,-1.23003724661,-2.0271470517,-2.7891324467,-3.80689336318,-4.04562314961,-1.70379148807,-1.28410491128,-2.27337715416,-1.33988749139,-1.29358265951,-5.60145982707,-3.66680075303,-4.20924289393,-1.08047195161,-1.93740843543,-1.4991664017,-1.62511824253,-1.65335686373,-1.31246371025
