,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,-2.01348777247,-3.10305398322,-1.84563410325,-3.94872226455,-2.03516958076,-2.21439865397,-1.5833133906,-1.00245592151,-1.81069569241,-1.09803747875,-0.984409900987,-1.67825333678,-1.70764095275,-2.47991104395,-4.44001411636,-1.32069276889,-1.19208352402,-1.10105593172,-2.2323507092,-1.25757909838,-1.20494947393,-1.75877545784,-2.90715112344,-2.47642481981,-3.36944570024,-1.57971062912,-1.53573378319,-1.04277931545
1,-2.01759950559,-3.08256336946,-1.77246842074,-4.22670235281,-2.19481753947,-2.66696011082,-1.66728794433,-1.01138318002,-1.76659909522,-1.12295400817,-0.981708385792,-1.51538784519,-1.68298297293,-2.30999792753,-4.42417394328,-1.32069429227,-1.20018509587,-1.09953170721,-2.10511649853,-1.24214543748,-1.22078072286,-1.77802384237,-3.1927663729,-2.61371709708,-2.93472169098,-1.56385570844,-1.59347535011,-1.04438336748
2,-1.99328224095,-3.05623811319,-1.70926400058,-4.18633104459,-2.13087733108,-2.51615447578,-1.6590831552,-0.991767744396,-1.72407221099,-1.12197013949,-0.984974532833,-1.66026091335,-1.68906067144,-2.21689016495,-4.1918759565,-1.31995144526,-1.17786560279,-1.11119503804,-2.18385604888,-1.23623858675,-1.23205070029,-1.76199688935,-2.97219390216,-2.79806706001,-3.36211036433,-1.59055027033,-1.58882026064,-1.03861694202
3,-2.01679025213,-3.04594817787,-1.81476932702,-4.19938228626,-2.14907280108,-2.55880123693,-1.62360021342,-0.995952625888,-1.70994505492,-1.10194305964,-0.971228758999,-1.72934389268,-1.66091274666,-2.50856390931,-4.08457617401,-1.29789414585,-1.22366067585,-1.13864170381,-2.20023681374,-1.24658887878,-1.23665002455,-1.74032713449,-2.79092137288,-2.63349341993,-3.0896855814,-1.55852932161,-1.59012424303,-1.04998397376
4,-2.00296711164,-2.80851569274,-1.94929766651,-3.9945472135,-2.17645909918,-2.90168026592,-1.60013216432,-1.00287386716,-1.69270457707,-1.11903632378,-0.964431819036,-1.60576267582,-1.72374572145,-2.18385097449,-4.33357829735,-1.27293213958,-1.17338699216,-1.11555772555,-2.09917294808,-1.24267604462,-1.25503431143,-1.75804465743,-2.69428579582,-2.85846670661,-3.1905504078,-1.56150133644,-1.56409051819,-1.04165501845
5,-2.02762428994,-3.10889206472,-1.9583083434,-4.17980108999,-2.16725322426,-2.40681047161,-1.61633590305,-0.988463647393,-1.75692498951,-1.09769141456,-0.983378560214,-1.52814523729,-1.68833213027,-2.17712752237,-4.15755705692,-1.31484605576,-1.19390047494,-1.1064697815,-2.19417199149,-1.25722035261,-1.21518635601,-1.71264394191,-2.76313713574,-2.72566691555,-3.1739427125,-1.56623333604,-1.56978215297,-1.04387858683
6,-2.00441367081,-2.82363396674,-1.81154999578,-4.44190839532,-2.04412668569,-2.73577430498,-1.64865705442,-1.00778527356,-1.77857040455,-1.11894814534,-0.990681794718,-1.54613250815,-1.77219335185,-2.3384665942,-4.07076174203,-1.33521430064,-1.22290109323,-1.12311818744,-2.20646554687,-1.24743033111,-1.2040809729,-1.70299349546,-2.66413688098,-2.39676410022,-3.36169930418,-1.58354546765,-1.55982262481,-1.03754744771
7,-2.02175274691,-3.21509371226,-1.69385467001,-4.65638325055,-1.99215261521,-2.6602607131,-1.62438812442,-0.997885813939,-1.57056713328,-1.11632998972,-0.983948628667,-1.63707032059,-1.71585937494,-1.97229726244,-4.26907588806,-1.31464614614,-1.21955456846,-1.10649520818,-2.16632494105,-1.2037487219,-1.24005038963,-1.76538522125,-3.03995717024,-2.64003249413,-3.05550667215,-1.5604493878,-1.54333116124,-1.03606821036
8,-2.01657253845,-3.29592653869,-1.86743382112,-4.40917674501,-2.20805312185,-2.74683034445,-1.62319606438,-0.996268837638,-1.72360425092,-1.12873795968,-0.974373569369,-1.67794494975,-1.59050460059,-2.51473475991,-4.04392104644,-1.29700918236,-1.19470190231,-1.12454679001,-2.14476727801,-1.23547714035,-1.2646163939,-1.74360069158,-2.98995797476,-2.57619671824,-3.53926808258,-1.54927968228,-1.56861829319,-1.04261505079
9,-2.00034062077,-5.70113352057,-2.8840810929,-5.34126415749,-4.4675181257,-4.75111628282,-3.11141620488,-1.05607964705,-2.69038600825,-1.94325911038,-1.01040051439,-2.34886804171,-2.82661539385,-3.47521352347,-4.21521340277,-1.88920814568,-1.61190214501,-1.82438304467,-4.08629215275,-1.27174913914,-2.46927028892,-3.31155335867,-4.69792450201,-4.32944941921,-4.70430503714,-2.44903340216,-3.49794598793,-0.994987837827
10,-2.00695853283,-3.19463215343,-1.88189323368,-4.51936697305,-2.16155891319,-2.37978700545,-1.62559092704,-0.99569972944,-1.86147436646,-1.1049112012,-0.983047079014,-1.62614090523,-1.67809050688,-2.40452245077,-4.329331133,-1.33179914617,-1.21879409836,-1.12126291455,-2.23783207273,-1.25096957967,-1.23007131087,-1.75050782262,-2.87199068451,-2.91939420205,-3.12581210686,-1.57493669073,-1.55699893765,-1.03054620843
11,-2.0230663469,-3.40000026318,-1.9332276716,-4.31520572216,-2.16599921251,-2.56204456529,-1.64590509681,-0.995398304855,-1.6927642597,-1.11418199704,-0.97011677778,-1.65185599842,-1.74997420343,-2.33991274388,-4.44534388937,-1.34367884877,-1.21778242804,-1.12196870842,-2.07181593266,-1.24890512246,-1.25438507688,-1.77547060259,-2.76388196878,-2.71658616394,-3.39453267767,-1.57466418836,-1.57730288979,-1.04405330745
12,-2.02332528995,-3.09055775711,-1.91474580075,-4.37323692464,-2.20887504248,-2.70252226637,-1.67714013748,-1.0041550202,-1.82033092824,-1.10909328875,-0.987395726047,-1.70471332279,-1.64821393933,-2.0805287293,-4.14247469888,-1.33793656619,-1.20034342238,-1.13332658017,-2.13660526383,-1.27087251678,-1.21518577103,-1.71755999781,-2.55681855191,-2.61887871104,-3.32195378281,-1.57518743274,-1.58531850606,-1.04850742514
13,-2.02577462141,-3.16766888089,-1.89522547281,-4.31365756785,-2.12281766045,-2.57227522156,-1.65694317048,-1.00373223051,-1.69885142777,-1.10632177784,-0.971488567273,-1.66152949117,-1.62668094581,-2.30025850262,-4.37103681362,-1.31695766245,-1.21746544487,-1.10544638556,-2.12163058097,-1.25953999355,-1.21026610652,-1.73063078353,-3.07958456742,-2.62993346247,-3.09605562178,-1.59161272529,-1.5588790741,-1.02791765582
14,-2.01550590914,-3.1035840502,-1.76777934667,-4.57863796165,-2.18034218817,-2.51259630284,-1.63642749269,-0.99919170896,-1.70451263116,-1.11203094834,-0.969986301764,-1.67072822056,-1.77623139303,-2.255802192,-4.2241577906,-1.30213270802,-1.21641849212,-1.11545241634,-2.15900221841,-1.26392188302,-1.20743783725,-1.79200207631,-3.03540425168,-2.58650320076,-3.36316283235,-1.56310572705,-1.5521059812,-1.03032197046
15,-2.0198521447,-3.49421438364,-1.71529412652,-4.11798117416,-2.13657794823,-2.44362916008,-1.61981993982,-1.00519956146,-1.8424386445,-1.12410732563,-0.97807210265,-1.62621074299,-1.60482825935,-2.40646508473,-4.20387487391,-1.32217946071,-1.19276097714,-1.12633455995,-2.15598200532,-1.26289551571,-1.2214909279,-1.73236490615,-2.71319046168,-2.80867826304,-3.10041035167,-1.57726413896,-1.55951342589,-1.03935082873
16,-2.00234940249,-3.03131784619,-1.73688737354,-4.38984940264,-1.99748716049,-2.82683475314,-1.60185346405,-0.998810212069,-1.59172994889,-1.11166545611,-0.978006824806,-1.61144932838,-1.68208082789,-2.08139245521,-4.37242652963,-1.31748238472,-1.22127312347,-1.12561027412,-2.04449621058,-1.26750663524,-1.25978224175,-1.72777134941,-3.05201140555,-2.66040292368,-3.17507217487,-1.55882963333,-1.57152531237,-1.03617785583
17,-2.00958654755,-3.05940324749,-1.7826897762,-4.49898984232,-2.04953444472,-2.51631283363,-1.63518606696,-0.994267915172,-1.7184093557,-1.11050031388,-0.989836883103,-1.69196865352,-1.65095097284,-2.4514856364,-4.38301416276,-1.28422596985,-1.19214656877,-1.13003726721,-2.2320797387,-1.27856534462,-1.20306058088,-1.71590580731,-3.12083552009,-2.66870421136,-3.35617541185,-1.56582201584,-1.59611356091,-1.03876987376
18,-2.01936253478,-3.17647570232,-1.87113071202,-3.75982747894,-2.1163602932,-2.67679351675,-1.62783102728,-0.990833679909,-1.80244265144,-1.10653698583,-0.96155532756,-1.65854619057,-1.65251856848,-2.3192467625,-4.46517045846,-1.31785884822,-1.1871405195,-1.1407011073,-2.15006907165,-1.23680835996,-1.23597718145,-1.75227097207,-2.85697079268,-2.66138891215,-3.43536422988,-1.57105366667,-1.55116547277,-1.03661589399
19,-1.99066390328,-2.82692585822,-1.74136611686,-4.42527836281,-2.19084990951,-2.92512486536,-1.61543299932,-0.986879281261,-1.72513696726,-1.12868473311,-0.992033090874,-1.58993278919,-1.73832121828,-2.25316678841,-4.02458692807,-1.29380776193,-1.18282594425,-1.10827708271,-2.29896399653,-1.26031830953,-1.21959330408,-1.76361423357,-3.07645640433,-2.64507825937,-3.16102055817,-1.59256690267,-1.56993659317,-1.05569414361
20,-2.01401134458,-3.39890051442,-1.73367421918,-3.94230746014,-2.19187319611,-2.32711250628,-1.65709220537,-1.01007218158,-1.65662451697,-1.1146621745,-0.977976810195,-1.62056764957,-1.71968526899,-2.25810813997,-3.91298576014,-1.32185440828,-1.21929218153,-1.13074064094,-2.05397433694,-1.23648965133,-1.23865066319,-1.7643130072,-2.84793549053,-2.55575160475,-3.18537420639,-1.55084976023,-1.56840808331,-1.04046675779
21,-1.99935200514,-3.06709737686,-1.69899040864,-3.81257711959,-2.19421221427,-2.75548317383,-1.63170958821,-1.00567658517,-1.8511121734,-1.11738058576,-0.992218461681,-1.55711153027,-1.73109731746,-2.23951827717,-4.07410682635,-1.32647148861,-1.1963556584,-1.12785126489,-2.07533181543,-1.24209494642,-1.2249009477,-1.68772659667,-2.99023677603,-2.76493136825,-3.07563171878,-1.56861976377,-1.55680046333,-1.04149138275
22,-2.00415045556,-3.30639417293,-1.56370985219,-4.03330942142,-2.15005093191,-2.46386928638,-1.6224252257,-1.00745606121,-1.64567526922,-1.12220680656,-0.97864199558,-1.63051683895,-1.80627373282,-2.28997932666,-4.05531998625,-1.30878864773,-1.19543897368,-1.15095771156,-2.221989239,-1.23968536424,-1.21218242067,-1.7736203799,-2.96820434894,-3.01062822905,-2.98094752077,-1.59464337744,-1.57092458133,-1.04906900287
23,-2.02903196895,-3.11233238101,-1.93569938526,-3.60815497958,-2.17669399998,-2.70045273453,-1.65323206018,-0.993010850768,-1.77204496683,-1.10627767011,-0.980342129784,-1.63715791044,-1.69425347179,-2.28503473473,-4.34986103987,-1.31689110571,-1.22724268115,-1.13120649593,-2.10411724922,-1.24438986133,-1.1993458438,-1.75166230944,-3.0485225736,-2.73382012662,-3.15737126513,-1.55513273866,-1.58254220552,-1.03135096021
24,-2.02054616774,-3.07398244841,-1.76200963275,-4.36301567266,-2.08425690295,-2.64598711502,-1.66167002054,-1.00372773119,-1.8169002559,-1.10727802995,-0.990318319694,-1.6019169046,-1.57874266756,-2.44478134295,-4.35034316762,-1.31045936622,-1.2068842191,-1.12891310352,-2.13749708202,-1.26994695111,-1.21480354449,-1.74330355933,-2.87714205213,-2.73207077438,-3.33200207729,-1.61409448621,-1.6076476936,-1.02694625447
25,-1.99246562346,-5.66494025626,-2.66703547874,-5.2018969648,-3.71844463833,-4.48749699532,-3.44301627604,-1.03312116084,-2.64756393771,-1.6177810521,-1.097612174,-2.59250626719,-2.75006154988,-3.14965810519,-3.71245836379,-2.00946023377,-1.5403852218,-1.70119777086,-3.42046093549,-1.26455474061,-2.33362091575,-3.99342548048,-4.94578769095,-4.71123682868,-4.65524770447,-2.46388404124,-3.72405645024,-1.07588547458
26,-2.04133370014,-5.43335871385,-2.50570540802,-5.41881810804,-3.85323959011,-4.40116483362,-3.61609038405,-1.01293993799,-2.61185669109,-1.38309182471,-0.983385979526,-2.87087770421,-2.82491595567,-3.10184543918,-4.30287894064,-1.80004999863,-1.65587670297,-1.87664190432,-3.70649605604,-1.27068101745,-2.02425461939,-4.16374957754,-5.00828976882,-4.60176525792,-4.5017703159,-2.40918134744,-3.57437514286,-1.05074149571
27,-2.03903782257,-5.33377144438,-2.55389390714,-5.46281774749,-3.75728214609,-4.51137848363,-3.80876366893,-1.00138877138,-2.59933947983,-1.54802658265,-0.988426911027,-2.46198513728,-2.67425874944,-3.0001720878,-4.33029671311,-1.95250999136,-1.41352580073,-1.87822071595,-3.74418538183,-1.2477329374,-2.01419051952,-3.91427251122,-4.93970884029,-4.58436564941,-4.25619755438,-2.5527919077,-3.33121471647,-1.01845706341
28,-2.02360254119,-3.35113974788,-1.75783565388,-3.94747825104,-2.03343863857,-2.66680223504,-1.58966308678,-0.978891877306,-1.9273593957,-1.10962913513,-0.969553265148,-1.5216787126,-1.69920458459,-2.45138716188,-4.31295571065,-1.29875938742,-1.20591278139,-1.12253715925,-2.27270555241,-1.26359000967,-1.25870335086,-1.75783042784,-2.91937310745,-2.76762115422,-3.18165687814,-1.61385642372,-1.59100672197,-1.06104944229
29,-2.02972543253,-3.08692823725,-1.79929914662,-4.07381295222,-2.11070462655,-2.5345615881,-1.60879800234,-1.00183187067,-1.70656979919,-1.13438927801,-0.955841855303,-1.62019405256,-1.64897584165,-2.44834515116,-4.23537064909,-1.32888534553,-1.20535697866,-1.13850587844,-2.15549847822,-1.25026433067,-1.19322338615,-1.79109119788,-2.84864438798,-2.79254663683,-3.25914328316,-1.58843530914,-1.59531387679,-1.03782119253
30,-2.06964029931,-5.67938756934,-2.44818705281,-5.53279672376,-3.80573081629,-4.6108909381,-3.14784076718,-1.07616222299,-2.83459610488,-1.73177634715,-1.03656670625,-2.55799924733,-2.64991036337,-2.98955839997,-4.24780229024,-1.79007311279,-1.40517475279,-1.5372393716,-3.75335366708,-1.25340430752,-1.66472300102,-4.03806898962,-4.63727195475,-4.76161753703,-4.63910079025,-2.51087119645,-3.2029510801,-1.05799918742
31,-2.05790521452,-5.31997366803,-2.76421970628,-5.33215599924,-4.13810446176,-4.60097914657,-3.94172113515,-1.06494119558,-2.81908121574,-1.77566335694,-1.00340184132,-2.32169338562,-2.69025048636,-3.23434400282,-4.25179273969,-2.00131654508,-1.60169308809,-1.47018287055,-3.71574909746,-1.23192338091,-2.48103671305,-3.68546999075,-4.72096438397,-5.02704180923,-5.0882977915,-2.44019888217,-2.76599409784,-1.06425913983
32,-2.00867129502,-3.44028116425,-1.68104340915,-4.0454299652,-2.09087089308,-2.56021034944,-1.65585571575,-1.00126609403,-1.81067261375,-1.1100050169,-0.972675231217,-1.59097248936,-1.62506512733,-2.37853154373,-4.49687402742,-1.29909269797,-1.20518384307,-1.1130508041,-2.19715019512,-1.261888274,-1.23555959635,-1.7365000579,-2.78161916534,-2.65893442052,-3.18009080588,-1.56626759433,-1.59458234822,-1.02992615453
33,-2.01744790754,-3.134811511,-2.04767905893,-4.26330250941,-2.14509676785,-2.81748119813,-1.67570321352,-0.998779130107,-1.79295216128,-1.1126205409,-0.965495615648,-1.65143937896,-1.76468997582,-2.50516726769,-3.98954423682,-1.32034933018,-1.23431904033,-1.09829299822,-2.02669337272,-1.2703584188,-1.2468378978,-1.72755113833,-2.96917445077,-2.67240177439,-3.28889300332,-1.59214628917,-1.56309985685,-1.05774992272
34,-2.00647033291,-3.33170409454,-1.64135201183,-4.38783569523,-2.20496452901,-2.71759006078,-1.59716383714,-1.01267766927,-1.78362668841,-1.11792269559,-0.955351821567,-1.55939522248,-1.70401531794,-2.26178512556,-4.00317502705,-1.30111239663,-1.20809918246,-1.12049361716,-2.08811201268,-1.27252851094,-1.23635126712,-1.77071999518,-3.00980373703,-2.73724614605,-3.09345531775,-1.59171979873,-1.54215404815,-1.05250644313
35,-2.02616846982,-3.25165308289,-1.6202870643,-3.79754891504,-2.1886405886,-2.50313498898,-1.62407578931,-1.00674705756,-1.76196778344,-1.10277555916,-0.974421119623,-1.76430357046,-1.76417963972,-2.32565129721,-4.30316954306,-1.32197933238,-1.20735112547,-1.11547758661,-2.12754894496,-1.2558747563,-1.22493842037,-1.73315882289,-3.195427935,-2.67634954396,-3.1430804738,-1.55670874804,-1.57610129448,-1.02775014402
36,-2.02091625409,-3.27163893032,-1.73692348366,-4.39712721686,-2.12539809672,-2.81716525264,-1.6210499313,-0.977336947219,-1.77733385881,-1.12668537248,-0.969052502378,-1.66040108553,-1.60060046448,-2.32547900971,-4.09564768779,-1.32614690904,-1.20755119061,-1.13210707818,-2.14751298428,-1.25878032476,-1.22086655463,-1.78583362438,-2.92849964263,-2.51296893819,-3.27613203074,-1.55353454984,-1.57509612947,-1.04706421028
