,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,-1.48670677823,-2.42867994471,-1.27173694256,-2.97029751548,-2.06664998174,-5.77811648572,-7.04009780604,-5.20608721673,-2.79756948733,-3.56407387917,-4.40394341402,-6.36104468856,-5.44533084811,-1.97967323955,-4.49563242879,-3.81158841368,-3.95937396474,-3.63883796257,-1.28585827813,-0.875226614856,-1.24829508315,-1.36926910864,-1.23783839525,-1.75930163401,-1.26144428988,-1.39857629917,-1.5922976361,-1.09885656058,-2.20891630815,-1.67180287204,-2.28577862985,-3.06477780731,-1.75275542032,-1.72494519877,-1.41241857172,-1.95706157915,-1.61330000191
1,-1.45717507809,-2.59766535285,-1.32190538577,-2.56158263049,-2.18000238329,-6.1735671048,-7.03361299248,-5.10534863055,-3.3925129957,-3.87168282181,-4.61784687646,-6.01747201519,-4.82628916985,-2.15984878802,-4.95124688268,-3.70587971872,-3.6567740374,-3.69982739581,-1.32389985885,-0.896377383183,-1.29886581786,-1.39227477658,-1.21003263039,-1.74088482979,-1.27664973594,-1.36343072667,-1.63187227396,-1.10006771823,-2.3704251602,-1.70477428186,-2.38692105164,-3.19355737113,-1.74178119242,-1.7024541359,-1.41225446179,-2.03139178136,-1.64439218663
2,-1.43653096574,-2.33644704042,-1.3182128277,-2.40053712197,-1.95686681272,-6.14156161088,-7.09958768503,-4.8779220151,-2.9142008821,-3.68862757834,-4.67846788118,-6.22863110717,-4.32255953338,-2.02341953162,-4.57981230675,-4.1727277368,-3.86458668519,-3.32533150215,-1.32093947809,-0.874484627494,-1.24366529724,-1.39406337444,-1.21622895375,-1.7380425099,-1.23569634988,-1.38623264152,-1.62839970732,-1.09701132878,-2.48334272998,-1.69147098291,-2.30833916695,-3.11710593685,-1.72241149363,-1.69894137563,-1.4239516389,-2.10828933843,-1.62282763764
3,-1.46121450695,-2.45355137375,-1.30054966999,-2.37776397651,-1.96500886574,-6.13715912136,-7.08061798717,-5.48768083357,-3.09343960466,-3.57180548697,-4.62172757825,-6.08529018492,-5.12039632811,-2.16814593724,-4.73646921852,-3.9695056427,-3.97344400219,-3.36429926006,-1.30703388134,-0.880662118093,-1.27705612675,-1.40578062101,-1.21393124693,-1.89521818004,-1.2713589076,-1.37516606244,-1.70520132258,-1.10920735415,-2.42179514119,-1.66583817489,-2.35275542423,-3.07171501203,-1.65146423014,-1.76412125192,-1.41965771434,-2.01817874,-1.60910649019
4,-2.01576017598,-3.78702549666,-2.54217767654,-4.62849718727,-4.51472026383,-6.35121982088,-7.13942709164,-6.62565081565,-5.40572580342,-5.68555465355,-5.49313787733,-6.54819162616,-5.39518209467,-3.82202792807,-6.45798125693,-5.10953046552,-5.09932757424,-4.87946105915,-2.07836861937,-0.947630976125,-2.05713838702,-3.06511456185,-2.26213555919,-2.71442971002,-2.30409680539,-2.82145054403,-3.74663886706,-2.16245881828,-3.95472366227,-4.14064141602,-4.25108683142,-4.36126945538,-2.60071373304,-3.68477585049,-2.43849308028,-4.3291831346,-3.74471919256
5,-2.45343719746,-3.94743011375,-2.35650893416,-4.56837770018,-4.01985421252,-6.01170515334,-7.057679697,-6.64061526843,-5.4856463925,-5.55740310026,-5.61511538833,-6.56555544337,-5.18206164069,-3.64088163003,-6.37006223521,-5.03936640636,-4.95736168664,-4.62251610271,-2.01013958537,-1.41473476399,-2.26814310795,-3.17694037065,-2.56308735716,-2.77611107659,-2.15369634746,-2.37073990629,-3.67741359492,-1.51086371284,-4.08843311516,-3.53571993265,-4.2923972076,-4.68856388161,-3.30961705756,-4.13514134998,-2.5582882227,-4.09844041962,-3.50377799992
6,-1.45853240908,-2.55527221767,-1.28452166325,-2.9836812815,-2.15195357527,-5.79227136394,-7.08051727693,-5.40925885176,-3.22674397157,-3.96661336002,-4.55293161141,-6.0340826896,-5.23833340145,-2.13387456647,-4.6733229015,-3.92049928494,-3.7034212545,-3.5508470011,-1.29815421499,-0.850720736222,-1.28552025866,-1.38646731014,-1.21646220743,-1.92077803979,-1.27735669017,-1.38247108304,-1.63302958675,-1.07733505448,-2.34639108354,-1.68687390617,-2.31855004117,-3.4074145878,-1.78502945042,-1.72069558063,-1.4358795851,-1.98278530802,-1.64102998662
7,-2.55576060535,-3.58176442412,-2.27692520087,-4.94153975393,-4.24333308421,-6.27054857111,-7.03889111815,-6.8143545965,-5.37114310636,-5.63448189689,-5.51044400016,-6.56114679489,-5.4545574242,-3.60630121287,-6.26207390735,-4.79428278297,-5.36258250186,-4.82944189585,-2.12594137928,-1.08691797034,-2.54724768713,-3.0254324523,-2.83053550438,-3.2377392269,-2.40937833872,-2.55085549965,-3.69942426378,-1.64819276437,-3.74005258948,-3.51077488698,-4.01791303538,-4.30091131327,-2.67276299847,-3.71794288103,-2.55178377122,-3.99845166636,-3.54051588534
8,-1.46815089352,-2.33685523362,-1.29011998522,-2.63367228954,-2.03693927867,-6.12004504444,-7.05366094723,-4.76915162741,-2.80115373331,-3.63654999858,-4.53506768277,-5.74614994781,-5.0979707873,-2.1534643774,-4.68059578009,-3.82659071077,-3.60620913465,-3.51299603252,-1.31814857124,-0.862901917305,-1.30520803407,-1.40170552357,-1.22785056544,-1.80656411896,-1.27396211918,-1.36912296496,-1.69964306014,-1.09410839335,-2.31712011574,-1.66220186545,-2.15069494249,-3.05315642505,-1.57982603254,-1.71820595969,-1.37975139787,-1.96463681993,-1.63821387342
9,-1.48091254423,-2.32352025127,-1.30991447167,-2.6912841521,-2.13162116361,-6.21791159755,-7.06849101661,-5.26137267189,-3.20481622065,-3.79189248454,-4.5150244576,-5.7777996809,-5.2800332062,-2.15925805464,-4.55371824501,-4.22562397076,-3.65983375599,-3.47945065378,-1.31637270638,-0.855062901678,-1.23892521994,-1.38953733137,-1.23512210993,-1.87839518155,-1.30163703424,-1.36820468178,-1.67309502852,-1.10323912818,-2.2847646123,-1.67204532613,-2.33068138089,-2.95354952305,-1.67095648024,-1.71440899622,-1.38441434544,-1.98544319463,-1.59929894844
